target.name	accession	query.name	accession.1	sequence.E.value	sequence.score	sequence.bias	domain.E.value	domain.score	domain.bias	exp	reg	clu	ov	env	dom	rep	inc	description.of.target	scaffold	genome
TARA_SAMEA2621132_METAG-scaffold_1258-gene_8	-	PTHR42821.SF1.pir	-	0	1048.3	0	0	1048	0	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621132_METAG-scaffold_1258-	TARA_SAMEA2621132_METAG_AHPOBHIE
TARA_SAMEA2621066_METAG-scaffold_128-gene_18	-	PTHR42821.SF1.pir	-	7.5e-291	978.2	1.2	9.1e-291	977.9	1.2	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621066_METAG-scaffold_128-	TARA_SAMEA2621066_METAG_EHDOKGKK
TARA_SAMEA2622097_METAG-scaffold_568-gene_18	-	PTHR42821.SF1.pir	-	7.5e-291	978.2	1.2	9.1e-291	977.9	1.2	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622097_METAG-scaffold_568-	TARA_SAMEA2622097_METAG_CBGOIALJ
TARA_SAMEA2621013_METAG-scaffold_176-gene_11	-	PTHR42821.SF1.pir	-	1.6e-290	977.1	1	1.9e-290	976.8	1	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621013_METAG-scaffold_176-	TARA_SAMEA2621013_METAG_FHBCEPPH
TARA_SAMEA2623350_METAG-scaffold_779-gene_5	-	PTHR42821.SF1.pir	-	1.4e-289	974	0	1.7e-289	973.7	0	1	1	0	0	1	1	1	1	-	TARA_SAMEA2623350_METAG-scaffold_779-	TARA_SAMEA2623350_METAG_CMMNJGMG
TARA_SAMEA2623463_METAG-scaffold_14735-gene_2	-	PTHR42821.SF1.pir	-	1.4e-289	974	0	1.7e-289	973.7	0	1	1	0	0	1	1	1	1	-	TARA_SAMEA2623463_METAG-scaffold_14735-	TARA_SAMEA2623463_METAG_KCAADDNP
TARA_SAMEA2622097_METAG-scaffold_13573-gene_3	-	PTHR42821.SF1.pir	-	7.8e-288	968.2	0	8.7e-288	968	0	1	1	0	0	1	1	1	1	-	TARA_SAMEA2622097_METAG-scaffold_13573-	TARA_SAMEA2622097_METAG_FICAAKDN
TARA_SAMEA2621839_METAG-scaffold_2196-gene_14	-	PTHR42821.SF1.pir	-	7.1e-284	955.1	0.4	8.4e-284	954.9	0.4	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621839_METAG-scaffold_2196-	TARA_SAMEA2621839_METAG_ANAFGPCM
TARA_SAMEA2623426_METAG-scaffold_38946-gene_2	-	PTHR42821.SF1.pir	-	6.5e-186	631.3	0	7.3e-186	631.1	0	1	1	0	0	1	1	1	1	-	TARA_SAMEA2623426_METAG-scaffold_38946-	TARA_SAMEA2623426_METAG_HEBIPHGI
TARA_SAMEA2621779_METAG-scaffold_53075-gene_1	-	PTHR42821.SF1.pir	-	1.6e-166	567.2	0.1	1.8e-166	567	0.1	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621779_METAG-scaffold_53075-	TARA_SAMEA2621779_METAG_BELFJGAC
TARA_SAMEA2621132_METAG-scaffold_1939-gene_9	-	PTHR42821.SF1.pir	-	2.5e-155	530.2	0.7	3.3e-155	529.8	0.7	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621132_METAG-scaffold_1939-	TARA_SAMEA2621132_METAG_AHPOBHIE
TARA_SAMEA2621839_METAG-scaffold_4597-gene_9	-	PTHR42821.SF1.pir	-	4.5e-151	516.1	3	5.3e-151	515.9	3	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621839_METAG-scaffold_4597-	TARA_SAMEA2621839_METAG_ANAFGPCM
TARA_SAMEA2621132_METAG-scaffold_1916-gene_3	-	PTHR42821.SF1.pir	-	7.3e-142	485.7	1.9	9.7e-142	485.3	1.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621132_METAG-scaffold_1916-	TARA_SAMEA2621132_METAG_HHIKJHGI
TARA_SAMEA2621198_METAG-scaffold_168-gene_22	-	PTHR42821.SF1.pir	-	9.2e-142	485.4	0.9	1.1e-141	485.1	0.9	1	1	0	0	1	1	1	1	-	TARA_SAMEA2621198_METAG-scaffold_168-	TARA_SAMEA2621198_METAG_NHKNDBOB
