,genomesnames$name,K03781,K03782,total
1,Alteromonas_mediterranea_DE,1,1,2
2,Alteromonas_naphthalenivorans_SN2,1,2,3
3,Alteromonas_macleodii_English_Channel_673,3,1,4
4,Alteromonas_macleodii_Black_Sea_11,2,1,3
5,Alteromonas_macleodii_AltDE1,1,1,2
6,Alteromonas_macleodii_Balearic_Sea_AD45,3,0,3
7,Alteromonas_sp_ALT199,1,2,3
8,Alteromonas_macleodii__Aegean_Sea_MED64_,1,1,2
9,Alteromonas_macleodii__Ionian_Sea_U7_,1,2,3
10,Alteromonas_macleodii__Ionian_Sea_U8_,1,2,3
11,Alteromonas_macleodii__Ionian_Sea_UM4b_,1,1,2
12,Alteromonas_macleodii_ATCC_27126,3,2,5
13,Alteromonas_macleodii__Ionian_Sea_U4_,1,2,3
14,Alteromonas_macleodii__Ionian_Sea_UM7_,1,1,2
15,Alteromonas_macleodii__English_Channel_615_,1,2,3
16,Alteromonas_australica_H17,1,2,3
17,Alteromonas_australica_DE170,1,2,3
18,Alteromonas_stellipolaris_LMG21856,1,1,2
19,Alteromonas_stellipolaris_PQQ_42,1,2,3
20,Alteromonas_macleodii_D7,2,1,3
21,Alteromonas_stellipolaris_PQQ_44,1,2,3
22,Alteromonas_sp_Mac1,1,2,3
23,Alteromonas_sp_Mac2,1,2,3
24,Alteromonas_macleodii_HOT1A3,3,1,4
25,Alteromonas_stellipolaris_LMG_21861,1,2,3
26,Alteromonas_mediterranea_U10,1,1,2
27,Alteromonas_mediterranea_UM8,1,1,2
28,Alteromonas_stellipolaris_R10SW13,1,2,3
29,Alteromonas_sp_BZK5,2,1,3
30,Alteromonas_sp_I10,3,1,4
31,Alteromonas_sp_Mex14,1,1,2
32,Alteromonas_mediterranea_CP48,1,2,3
33,Alteromonas_sp_RW2A1,0,4,4
34,Alteromonas_mediterranea_AR43,1,2,3
35,Alteromonas_mediterranea_CP49,1,2,3
36,Alteromonas_mediterranea_RG65,1,2,3
37,Alteromonas_sp_TK_46_2__DSM_26665,1,1,2
38,Alteromonas_macleodii_BGP6,3,1,4
39,Alteromonas_macleodii_BGP9,3,1,4
40,Alteromonas_macleodii_BGP14,3,1,4
41,Alteromonas_macleodii_MIT1002_Genome_closure,3,1,4
42,Alteromonas_sp_LTR,1,2,3
43,Alteromonas_sp_MB_3u_76,0,2,2
44,Alteromonas_macleodii_EZ55,3,1,4
45,Alteromonas_pelagimontana_512,2,1,3
46,Alteromonas_aestuariivivens_KCTC_52655,0,2,2
47,Alteromonas_lipolytica_JW12,0,1,1
48,Alteromonas_sp_RKMC_009,2,1,3
49,Alteromonas_macleodii_Te101,3,1,4
50,Alteromonas_abrolhosensis_PEL_68C,2,1,3
51,Alteromonas_alba_190,1,2,3
52,Alteromonas_confluentis_KCTC_42603,1,1,2
53,Alteromonas_indica_IO390401,3,1,4
54,Alteromonas_sp_V450,2,1,3
55,Alteromonas_oceani_S35,1,1,2
56,Alteromonas_abrolhosensis_PEL_67E,2,1,3
57,Alteromonas_sp_LOR,1,2,3
58,Alteromonas_sp_KUL49,0,2,2
59,Alteromonas_portus_HB161718,3,2,5
60,Alteromonas_ponticola_MYP5,0,2,2
61,Alteromonas_sp_KUL106,1,1,2
62,Alteromonas_sp_KS69,0,2,2
63,Alteromonas_sediminis_U0105,0,1,1
64,Alteromonas_sp_KUL150,1,1,2
65,Alteromonas_sp_KUL17,3,1,4
66,Alteromonas_sp_KUL42,0,2,2
67,Alteromonas_sp_07_89_2,2,1,3
68,Alteromonas_macleodii_QZ9_9,3,1,4
69,Alteromonas_macleodii_83_1,3,1,4
70,Alteromonas_mediterranea_PT11,1,2,3
71,Alteromonas_mediterranea_PT15,1,2,3
72,Alteromonas_mediterranea_AltCH17,1,2,3
73,Alteromonas_sp_BL110,2,2,4
74,Alteromonas_sp_76_1,1,2,3
75,Alteromonas_sp_B31_7,2,2,4
76,Alteromonas_sp_KC3,1,1,2
77,Alteromonas_sp_KC14,1,1,2
78,Alteromonas_sp_LMIT006,0,0,0
79,Alteromonas_macleodii_REDSEA_S09_B2,2,1,3
80,Alteromonas_macleodii_REDSEA_S10_B9,1,0,1
81,Alteromonas_macleodii_REDSEA_S12_B5,2,1,3
82,Alteromonas_macleodii_REDSEA_S14_B11,1,0,1
83,Alteromonas_macleodii_REDSEA_S15_B11,2,1,3
84,Alteromonas_sp_ARS20,2,2,4
85,Alteromonas_sp_CPC291,0,1,1
86,Alteromonas_sp_CPC327,1,1,2
87,Alteromonas_sp_EAC615,1,1,2
88,Alteromonas_sp_EAC37,1,2,3
89,Alteromonas_sp_CPC94,1,0,1
90,Alteromonas_sp_MED668,0,4,4
91,Alteromonas_sp_MED681,0,2,2
92,Alteromonas_sp_NAT174,1,1,2
93,Alteromonas_sp_NP46,2,1,3
94,Alteromonas_sp_RS411,2,0,2
95,Alteromonas_sp_NP15,2,2,4
96,Alteromonas_sp_IN32,1,1,2
97,Alteromonas_macleodii_SAMN07137114,1,1,2
98,Alteromonas_macleodii_SAMN07136589,2,1,3
99,Alteromonas_australica_SAMN07136708,2,2,4
100,Alteromonas_sp_SAMN07136709,2,1,3
101,Alteromonas_australica_SAMN07136710,1,2,3
102,Alteromonas_mediterranea_SAMN07136710,1,1,2
103,Alteromonas_naphthalenivorans_SAMN07136711,0,2,2
104,Alteromonas_macleodii_SAMN07136711,3,1,4
105,Alteromonas_sp_SAMN07136715,2,1,3
106,Alteromonas_macleodii_SAMN07136718,1,1,2
107,Alteromonas_macleodii_SAMN05421563,2,1,3
