name	contigs_db_path
Alteromonas_abrolhosensis_PEL_67E	2855659987.db
Alteromonas_abrolhosensis_PEL_68C	2844285455.db
Alteromonas_aestuariivivens_KCTC_52655	2834719733.db
Alteromonas_alba_190	2844289591.db
Alteromonas_australica_DE170	2639762924.db
Alteromonas_australica_H17	2585427644.db
Alteromonas_australica_SAMEA2591132	TARA_SAMEA2591132_METAG_KHLCFNJJ-contigs.db
Alteromonas_australica_SAMEA2620882	TARA_SAMEA2620882_METAG_GJEPBGGD-contigs.db
Alteromonas_australica_SAMEA2621013	TARA_SAMEA2621013_METAG_FHBCEPPH-contigs.db
Alteromonas_australica_SAMEA2621020	TARA_SAMEA2621020_METAG_DGKNMHLE-contigs.db
Alteromonas_australica_SAMEA2621021	TARA_SAMEA2621021_METAG_JAJGGMJP-contigs.db
Alteromonas_australica_SAMEA2621037	TARA_SAMEA2621037_METAG_BOIEAKJP-contigs.db
Alteromonas_australica_SAMEA2621044	TARA_SAMEA2621044_METAG_NOLHAABM-contigs.db
Alteromonas_australica_SAMEA2621066	TARA_SAMEA2621066_METAG_EHDOKGKK-contigs.db
Alteromonas_australica_SAMEA2621092	TARA_SAMEA2621092_METAG_JEDFGNEM-contigs.db
Alteromonas_australica_SAMEA2621216	TARA_SAMEA2621216_METAG_ANKHBPBN-contigs.db
Alteromonas_australica_SAMEA2622097	TARA_SAMEA2622097_METAG_CBGOIALJ-contigs.db
Alteromonas_australica_SAMEA2622119	TARA_SAMEA2622119_METAG_AHJCKKBI-contigs.db
Alteromonas_australica_SAMEA2622149	TARA_SAMEA2622149_METAG_IIKHAJAF-contigs.db
Alteromonas_australica_SAMEA2622402	TARA_SAMEA2622402_METAG_IKPHBABN-contigs.db
Alteromonas_australica_SAMEA2622656	TARA_SAMEA2622656_METAG_ONBBOINN-contigs.db
Alteromonas_australica_SAMEA2622695	TARA_SAMEA2622695_METAG_ILPHFPJJ-contigs.db
Alteromonas_australica_SAMEA2622696	TARA_SAMEA2622696_METAG_FJMHLBNK-contigs.db
Alteromonas_australica_SAMEA2622923	TARA_SAMEA2622923_METAG_FFMAPNPA-contigs.db
Alteromonas_australica_SAMEA2623135	TARA_SAMEA2623135_METAG_DJILNNCH-contigs.db
Alteromonas_australica_SAMEA2623295	TARA_SAMEA2623295_METAG_JAJGGAMP-contigs.db
Alteromonas_australica_SAMEA2623314	TARA_SAMEA2623314_METAG_DPHFBFLK-contigs.db
Alteromonas_australica_SAMEA2623513	TARA_SAMEA2623513_METAG_PGGKNGAJ-contigs.db
Alteromonas_australica_SAMEA2623826	TARA_SAMEA2623826_METAG_OCIHHAIO-contigs.db
Alteromonas_australica_SAMN05326644	TARA_SAMN05326644_METAG_PON00061-contigs.db
Alteromonas_australica_SAMN07136710	BGEO_SAMN07136710_METAG_AFAMJGBL-contigs.db
Alteromonas_confluentis_KCTC_42603	2855643116.db
Alteromonas_confluentis_SAMN05422120	MALA_SAMN05422120_METAG_BOFCDAAO-contigs.db
Alteromonas_fortis_ALFOR1	GCF_903772925.1.db
Alteromonas_gracilis_SAMN07626136	MARD_SAMN07626136_REFG_MMP07626136-contigs.db
Alteromonas_indica_IO390401	2855647486.db
Alteromonas_lipolytica_JW12	2834723206.db
Alteromonas_macleodii__Aegean_Sea_MED64_	2545824627.db
Alteromonas_macleodii__English_Channel_615_	2561511205.db
Alteromonas_macleodii__Ionian_Sea_U4_	2561511203.db
Alteromonas_macleodii__Ionian_Sea_U7_	2554235399.db
Alteromonas_macleodii__Ionian_Sea_U8_	2554235400.db
Alteromonas_macleodii__Ionian_Sea_UM4b_	2554235401.db
Alteromonas_macleodii__Ionian_Sea_UM7_	2561511204.db
Alteromonas_macleodii_83_1	GCF_901446755.2.db
Alteromonas_macleodii_AltDE1	2521172685.db
Alteromonas_macleodii_ATCC_27126	2554235747.db
Alteromonas_macleodii_Balearic_Sea_AD45	2521172706.db
