,Hit.Name,Gene,E.Value,Score,Genome,KO
1,2503_TARA_SAMEA2621287_METAG_MNDFFPHI,K03781hits_moreStringent.align,4.3e-298,995,Alteromonas_macleodii_SAMEA2621287,K03781
2,3335_MALA_SAMN05422152_METAG_HBNHKFJL,K03781hits_moreStringent.align,6e-298,994.5,Alteromonas_macleodii_SAMN05422152,K03781
3,385_2841458974,K03781hits_moreStringent.align,8.3e-298,994,Alteromonas_macleodii_Te101,K03781
4,1072_GCF_023805395.1,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_macleodii_QZ9_9,K03781
5,1523_TARA_SAMEA2622843_METAG_KKMNMCOG,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_macleodii_SAMEA2622843,K03781
6,2245_2710724218,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_sp_I10,K03781
7,3136_2915794133,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_sp_07_89_2,K03781
8,3305_TARA_SAMEA2622357_METAG_MMNPPCIF,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_macleodii_SAMEA2622357,K03781
9,3485_TARA_SAMEA2622676_METAG_KGFLKMBD,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_macleodii_SAMEA2622676,K03781
10,354_BGEO_SAMN07136589_METAG_DDMJICEB,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_macleodii_SAMN07136589,K03781
11,365_2521172683,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_macleodii_English_Channel_673,K03781
12,392_2687453488,K03781hits_moreStringent.align,9.1e-298,993.9,Alteromonas_macleodii_HOT1A3,K03781
13,3257_TARA_SAMEA2622923_METAG_PHDMIKKF,K03781hits_moreStringent.align,9.7e-298,993.8,Alteromonas_macleodii_SAMEA2622923,K03781
14,1399_MARD_SAMN05578452_REFG_MMP05578452,K03781hits_moreStringent.align,1.1e-297,993.6,Alteromonas_macleodii_SAMN05578452,K03781
15,101_TARA_SAMEA2623390_METAG_LDEBDOEH,K03781hits_moreStringent.align,1.4e-297,993.3,Alteromonas_macleodii_SAMEA2623390,K03781
16,1236_TARA_SAMEA2622763_METAG_MBGICCKG,K03781hits_moreStringent.align,1.4e-297,993.3,Alteromonas_macleodii_SAMEA2622763,K03781
17,1515_MALA_SAMN05422143_METAG_FOMAMBOG,K03781hits_moreStringent.align,1.4e-297,993.3,Alteromonas_macleodii_SAMN05422143,K03781
18,2804_MAG31,K03781hits_moreStringent.align,1.4e-297,993.3,Alteromonas_macleodii_MAG31,K03781
19,3056_MALA_SAMN05422226_METAG_LFOGBKLO,K03781hits_moreStringent.align,1.4e-297,993.3,Alteromonas_macleodii_SAMN05422226,K03781
20,1394_TARA_SAMEA2622801_METAG_OACOIKDG,K03781hits_moreStringent.align,1.5e-297,993.2,Alteromonas_macleodii_SAMEA2622801,K03781
21,388_TARA_SAMEA2623098_METAG_BOAFAAIF,K03781hits_moreStringent.align,1.5e-297,993.2,Alteromonas_macleodii_SAMEA2623098,K03781
22,2531_TARA_SAMEA2623155_METAG_HDJJLLJM,K03781hits_moreStringent.align,1.7e-297,993.1,Alteromonas_macleodii_SAMEA2623155,K03781
23,2907_MALA_SAMN05422138_METAG_COKPJGJJ,K03781hits_moreStringent.align,1.7e-297,993.1,Alteromonas_macleodii_SAMN05422138,K03781
24,854_TARA_SAMEA2621044_METAG_JOAMDGOD,K03781hits_moreStringent.align,1.7e-297,993.1,Alteromonas_macleodii_SAMEA2621044,K03781
25,4030_2698537011,K03781hits_moreStringent.align,1.9e-297,992.8,Alteromonas_sp_BZK5,K03781
26,629_2802429385,K03781hits_moreStringent.align,2e-297,992.8,Alteromonas_sp_RS411,K03781
27,2449_TARA_SAMEA2619952_METAG_EMJBGBGK,K03781hits_moreStringent.align,2.3e-297,992.6,Alteromonas_macleodii_SAMEA2619952,K03781
28,1510_TARA_SAMEA2622765_METAG_HBCOMCNP,K03781hits_moreStringent.align,2.5e-297,992.4,Alteromonas_macleodii_SAMEA2622765,K03781
29,2475_MALA_SAMN05422183_METAG_FCADMKDN,K03781hits_moreStringent.align,2.5e-297,992.4,Alteromonas_macleodii_SAMN05422183,K03781
30,1177_TARA_SAMEA2622478_METAG_OEBMNELG,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2622478,K03781
31,1182_2802429382,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_sp_NAT174,K03781
32,1657_TARA_SAMEA2622568_METAG_DIBMGPDO,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2622568,K03781
33,170_TARA_SAMEA2620542_METAG_MEOGFAGI,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2620542,K03781
34,1784_TARA_SAMEA2623756_METAG_DMBINDKP,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2623756,K03781
35,1790_TARA_SAMEA2622733_METAG_LJOLBPGP,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2622733,K03781
36,1841_MALA_SAMN05422106_METAG_IKNIELCH,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMN05422106,K03781
37,2009_TARA_SAMEA2620217_METAG_OENHAHFA,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2620217,K03781
38,2503_TARA_SAMEA2620413_METAG_HJGOFLNN,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2620413,K03781
39,2721_TARA_SAMEA2620259_METAG_OHBFMFFC,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2620259,K03781
40,2953_TARA_SAMEA2623649_METAG_NIKIPLNN,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2623649,K03781
41,3001_TARA_SAMEA2623314_METAG_CFMLMODN,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2623314,K03781
42,3347_TARA_SAMEA2623794_METAG_NBFOODCE,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2623794,K03781
43,3636_TARA_SAMEA2622545_METAG_KEGJKDAO,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2622545,K03781
44,429_MALA_SAMN05421706_METAG_CKJAFDPA,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMN05421706,K03781
45,621_TARA_SAMEA2622800_METAG_PLGNBFNB,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2622800,K03781
46,793_2802429353,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_sp_IN32,K03781
47,833_TARA_SAMEA2620194_METAG_JCEANMAI,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2620194,K03781
48,845_TARA_SAMEA2622499_METAG_AGKMCDCN,K03781hits_moreStringent.align,2.7e-297,992.4,Alteromonas_macleodii_SAMEA2622499,K03781
49,1543_TARA_SAMEA2620995_METAG_JALHFPLJ,K03781hits_moreStringent.align,3.1e-297,992.2,Alteromonas_macleodii_SAMEA2620995,K03781
50,447_2738541267,K03781hits_moreStringent.align,3.2e-297,992.1,Alteromonas_macleodii_MIT1002_Genome_closure,K03781
51,1519_MALA_SAMN05422188_METAG_NPFLJJIF,K03781hits_moreStringent.align,3.9e-297,991.8,Alteromonas_macleodii_SAMN05422188,K03781
52,1491_TARA_SAMEA2623295_METAG_KGDGGJKN,K03781hits_moreStringent.align,3.9e-297,991.8,Alteromonas_macleodii_SAMEA2623295,K03781
53,445_2651870151,K03781hits_moreStringent.align,4.2e-297,991.7,Alteromonas_macleodii_REDSEA_S09_B2,K03781
54,374_2721755611,K03781hits_moreStringent.align,5.7e-297,991.3,Alteromonas_mediterranea_AR43,K03781
55,374_2721755798,K03781hits_moreStringent.align,5.7e-297,991.3,Alteromonas_mediterranea_CP49,K03781
56,388_2718218105,K03781hits_moreStringent.align,5.7e-297,991.3,Alteromonas_mediterranea_CP48,K03781
57,1105_MALA_SAMN05422113_METAG_BGGGCIFH,K03781hits_moreStringent.align,6.3e-297,991.1,Alteromonas_macleodii_SAMN05422113,K03781
58,389_2684623206,K03781hits_moreStringent.align,8.3e-297,990.7,Alteromonas_macleodii_D7,K03781
59,1493_TARA_SAMEA2622429_METAG_FNNAGCCN,K03781hits_moreStringent.align,9.1e-297,990.6,Alteromonas_macleodii_SAMEA2622429,K03781
60,369_GCF_903772925.1,K03781hits_moreStringent.align,9.3e-297,990.6,Alteromonas_fortis_ALFOR1,K03781
61,1415_BGEO_SAMN07136711_METAG_NHALNJBN,K03781hits_moreStringent.align,1.3e-296,990.1,Alteromonas_macleodii_SAMN07136711,K03781
62,349_2554235747,K03781hits_moreStringent.align,1.3e-296,990.1,Alteromonas_macleodii_ATCC_27126,K03781
63,1969_2651870154,K03781hits_moreStringent.align,1.5e-296,989.9,Alteromonas_macleodii_REDSEA_S14_B11,K03781
64,1640_TARA_SAMEA2622716_METAG_FPHJFONJ,K03781hits_moreStringent.align,1.6e-296,989.8,Alteromonas_macleodii_SAMEA2622716,K03781
65,1864_TARA_SAMEA2622097_METAG_CJDFGJHP,K03781hits_moreStringent.align,1.6e-296,989.8,Alteromonas_macleodii_SAMEA2622097,K03781
66,1970_TARA_SAMEA2621423_METAG_ACNBNNHJ,K03781hits_moreStringent.align,1.6e-296,989.8,Alteromonas_macleodii_SAMEA2621423,K03781
67,3511_TARA_SAMEA2622402_METAG_LANBCGIM,K03781hits_moreStringent.align,1.6e-296,989.8,Alteromonas_macleodii_SAMEA2622402,K03781
68,3619_TARA_SAMEA2621021_METAG_MKIGFGMC,K03781hits_moreStringent.align,1.6e-296,989.8,Alteromonas_macleodii_SAMEA2621021,K03781
69,3770_TARA_SAMEA2622336_METAG_IANBPKNL,K03781hits_moreStringent.align,1.6e-296,989.8,Alteromonas_macleodii_SAMEA2622336,K03781
70,1124_BGEO_SAMN07136708_METAG_BAHNCNMJ,K03781hits_moreStringent.align,1.6e-296,989.8,BAHNCNMJ,K03781
71,449_2545824627,K03781hits_moreStringent.align,1.6e-296,989.8,Alteromonas_macleodii__Aegean_Sea_MED64_,K03781
72,322_GCF_006517095.1,K03781hits_moreStringent.align,1.7e-296,989.7,Alteromonas_mediterranea_PT11,K03781
73,325_GCF_009759785.1,K03781hits_moreStringent.align,1.7e-296,989.7,Alteromonas_mediterranea_AltCH17,K03781
74,1107_2899573643,K03781hits_moreStringent.align,1.8e-296,989.6,Alteromonas_sp_KUL17,K03781
75,448_2561511205,K03781hits_moreStringent.align,1.9e-296,989.6,Alteromonas_macleodii__English_Channel_615_,K03781
76,2354_MALA_SAMN05422115_METAG_EILAGLKN,K03781hits_moreStringent.align,2.3e-296,989.3,Alteromonas_macleodii_SAMN05422115,K03781
77,3098_MALA_SAMN05422114_METAG_HDMCNFBK,K03781hits_moreStringent.align,2.3e-296,989.3,Alteromonas_macleodii_SAMN05422114,K03781
78,417_2738541260,K03781hits_moreStringent.align,2.3e-296,989.3,Alteromonas_macleodii_BGP6,K03781
79,417_2738541261,K03781hits_moreStringent.align,2.3e-296,989.3,Alteromonas_macleodii_BGP9,K03781
80,417_2738541262,K03781hits_moreStringent.align,2.3e-296,989.3,Alteromonas_macleodii_BGP14,K03781
81,417_GCF_901446755.2,K03781hits_moreStringent.align,2.3e-296,989.3,Alteromonas_macleodii_83_1,K03781
82,509_MALA_SAMN05422128_METAG_GFOMCGFD,K03781hits_moreStringent.align,2.3e-296,989.3,Alteromonas_macleodii_SAMN05422128,K03781
83,416_2521172684,K03781hits_moreStringent.align,2.3e-296,989.2,Alteromonas_macleodii_Black_Sea_11,K03781
84,3231_2855651425,K03781hits_moreStringent.align,2.8e-296,989,Alteromonas_sp_V450,K03781
85,1626_2899550177,K03781hits_moreStringent.align,2.8e-296,989,Alteromonas_portus_HB161718,K03781
